,property_title,price,area,room,bath,garage,address
476,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
477,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
478,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
479,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
480,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
481,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
482,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
483,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
484,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
485,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
486,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
487,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
488,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
489,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
490,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
491,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
492,"Apartamento com 3 Quartos à Venda, 74m²",R$ 640.000,74,3 Quartos,3 Banheiros,2 Vagas,"Rua Afonso de Freitas, 556 - Paraíso, São Paulo - SP"
493,"Apartamento com 4 Quartos à Venda, 167m²",R$ 2.500.000,167,4 Quartos,5 Banheiros,3 Vagas,"Rua Santa Elvira, 149 - Tatuapé, São Paulo - SP"
494,"Apartamento com 3 Quartos à Venda, 97m²",R$ 600.000,97,3 Quartos,2 Banheiros,2 Vagas,"Rua Copacabana, 491 - Santa Teresinha, São Paulo - SP"
495,"Apartamento com 2 Quartos à Venda, 82m²",R$ 870.000,82,2 Quartos,2 Banheiros,2 Vagas,"Avenida Susana, 93 - Vila Gumercindo, São Paulo - SP"
496,"Apartamento com 2 Quartos à Venda, 50m²",R$ 394.990,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Doutor Afonso Vergueiro, 1101 - Vila Maria, São Paulo - SP"
497,"Apartamento com 2 Quartos à Venda, 68m²",R$ 654.900,68,2 Quartos,2 Banheiros,1 Vaga,"Rua Clemente Pereira, 665 - Ipiranga, São Paulo - SP"
498,"Apartamento com 3 Quartos à Venda, 115m²",R$ 1.850.000,115,3 Quartos,2 Banheiros,1 Vaga,"Rua Tabapuã, 222 - Itaim Bibi, São Paulo - SP"
499,"Apartamento com 2 Quartos à Venda, 45m²",R$ 217.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP"
500,"Apartamento com 2 Quartos à Venda, 74m²",R$ 470.000,74,2 Quartos,2 Banheiros,1 Vaga,"Avenida Paula Ferreira, 89 - Freguesia do Ó, São Paulo - SP"
501,"Apartamento com 2 Quartos à Venda, 53m²",R$ 240.000,53,2 Quartos,1 Banheiro,1 Vaga,"Avenida Alexios Jafet, 1982 - Vila Aurora, São Paulo - SP"
502,"Apartamento com 2 Quartos à Venda, 68m²",R$ 275.000,68,2 Quartos,1 Banheiro,1 Vaga,"Avenida Patente, 193 - Jardim Patente, São Paulo - SP"
503,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
504,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
505,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
506,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
507,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
508,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
509,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
